type_name,type_name_lang,name,description,price,note,biz_id,name_lang,description_lang,options,active,calorie,spiciness,ingredient,togo
Appetizer,,Vegetarian Egg Rolls(2),,4.5,,,,,,1,,,,1
Appetizer,,Potstickers(6),,5.95,,,,,,1,,,,1
Appetizer,,Grilled Chicken Skewers(4),,6.25,,,,,,1,,1,,1
Appetizer,,Vegetarian Samosas(6),,6.75,,,,,,1,,,,1
Appetizer,,Honey Cured BBQ Spareribs(4),,6.75,,,,,,1,,,,1
Appetizer,,Mandarin Chicken Dumplings,,7.5,,,,,,1,,1,,1
Appetizer,,Golden Fried Prawns(6),,7.5,,,,,,1,,,,1
Appetizer,,Pu-Pu Platter(2 persons order min),7.25/per person,7.25,,,,,,1,,,,1
Appetizer,,Jade Wrap(2 persons order min),4.25/per person,4.25,,,,,,1,,,,1
Appetizer,,Small Chinese Chicken Salad,,7.5,,,,,,1,,,,1
Appetizer,,Large Chinese Chicken Salad,,14.5,,,,,,1,,,,1
Appetizer,,Crab Rangoon(6),,6.75,,,,,,1,,,,1
Soups,,"Spinach,Tomato,& Tofu Soup",,7.95,,,,,,1,,,,1
Soups,,Wonton Soup,,7.95,,,,,,1,,,,1
Soups,,Wor Wonton Soup,,8.95,,,,,,1,,,,1
Soups,,Prawns with Sizzling Rice Soup,,8.95,,,,,,1,,,,1
Soups,,Seafood Soup,,9.95,,,,,,1,,,,1
Soups,,"Miso,Tofu,&Seaweed Soup",,7.95,,,,,,1,,,,1
Soups,,Vegetarian Hot & Sour Soup,,7.95,,,,,,1,,1,,1
Soups,,Egg Flower Soup,,7.95,,,,,,1,,,,1
Soups,,Chicken & Corn Soup,,7.95,,,,,,1,,,,1
Healthy & Light Entrees,,Steamed Assorted Vegetables,,9.75,,,,,,1,,,,1
Healthy & Light Entrees,,Steamed Assorted Vegetables with:Chicken,,10.25,,,,,,1,,,,1
Healthy & Light Entrees,,Steamed Assorted Vegetables with:Prawns,,12.5,,,,,,1,,,,1
Healthy & Light Entrees,,Steamed Assorted Vegetables with:Scallops,,12.5,,,,,,1,,,,1
Healthy & Light Entrees,,Steamed Assorted Vegetables with:Combination,,14.95,,,,,,1,,,,1
Poultry,,Mu Shu Chicken,,10.25,,,,,,1,,,,1
Poultry,,Cashew Chicken,,10.75,,,,,,1,,,,1
Poultry,,Snow White Chicken,,10.75,,,,,,1,,,,1
Poultry,,Kung Pao Chicken,,10.75,,,,,,1,,1,,1
Poultry,,Lemon Chicken,,10.95,,,,,,1,,,,1
Poultry,,General Tso's Chicken,,10.95,,,,,,1,,1,,1
Poultry,,Tangerine Chicken,,10.95,,,,,,1,,1,,1
Poultry,,Peppercorn Chicken,,11.5,,,,,,1,,1,,1
Poultry,,Curry Chicken,,11.5,,,,,,1,,,,1
Poultry,,Vegetable Chicken,,11.5,,,,,,1,,,,1
Poultry,,Black Bean Sauce Chicken,,11.5,,,,,,1,,,,1
Poultry,,Beijing Chicken,,12.95,,,,,,1,,1,,1
Poultry,,Sesame Chicken,,12.95,,,,,,1,,,,1
Poultry,,Orange Chicken,,12.95,,,,,,1,,,,1
Poultry,,Szechwan Chicken,,12.95,,,,,,1,,,,1
Poultry,,Tea Smoked Duck(Half),,12.5,,,,,,1,,,,1
Poultry,,Tea Smoked Duck(Whole),,24.5,,,,,,1,,,,1
Beef,,Broccoli Beef,,10.75,,,,,,1,,,,1
Beef,,Mongolian Beef,,11.5,,,,,,1,,,,1
Beef,,Szechuan Beef,,11.5,,,,,,1,,1,,1
Beef,,Tangerine Beef,,11.75,,,,,,1,,1,,1
Beef,,Peppercorn Beef,,11.75,,,,,,1,,1,,1
Beef,,Teriyaki Beef,,11.75,,,,,,1,,,,1
Beef,,Dry Sauteed Shredded Beef,,11.75,,,,,,1,,,,1
Beef,,Black Pepper Steak Kew,,13.25,,,,,,1,,1,,1
Beef,,Beef with Baby Leafy Greens,,13.25,,,,,,1,,,,1
Beef,,Beef Royale,,13.25,,,,,,1,,1,,1
Beef,,Sesame Beef ,,13.25,,,,,,1,,,,1
Beef,,Beijing Beef,,13.25,,,,,,1,,1,,1
Seafood,,Prawns with Assorted Vegetables,,12.5,,,,,,1,,,,1
Seafood,,Ceshew Prawns,,12.5,,,,,,1,,,,1
Seafood,,Garlic Prawns,,12.5,,,,,,1,,1,,1
Seafood,,Kung Pao Prawns ,,12.95,,,,,,1,,1,,1
Seafood,,Szechuan Prawns,,12.95,,,,,,1,,1,,1
Seafood,,Beijing Prawns,,14.95,,,,,,1,,1,,1
Seafood,,Prawns with Honneyed Walnuts,,16.75,,,,,,1,,,,1
Seafood,,Lover's Prawn,,17.5,,,,,,1,,,,1
Seafood,,Sunllopps with Black Bean Sauce,,13.95,,,,,,1,,,,1
Seafood,,Ruby Jade Scallops,,13.95,,,,,,1,,1,,1
Seafood,,Seafood Delight,,17.5,,,,,,1,,,,1
Seafood,,Steamed Fish Fillets,,23.95,,,,,,1,,,,1
Seafood,,Roughy Saute,with choice of:Hunan Garlic or Black Bean Sauce ,19.95,,,,,,1,,,,1
Seafood,,Lobster,"with Hot Braised,Black Bean,or Cantonese Egg Sauce",24.95,,,,,,1,,,,1
Seafood,,Prawns with Green Soy Beans(Edamame),,14.95,,,,,,1,,,,1
Seafood,,Salt & Peppper Prawns,,14.95,,,,,,1,,,,1
Pork,,Sweet & Sour Pork,,9.95,,,,,,1,,,,1
Pork,,Sweet & Sour Pork,,9.95,,,,,,1,,,,1
Pork,,Mu-Shu Pork(4 pancakes),,10.25,,,,,,1,,,,1
Pork,,Yu-Shoung Pork,,10.25,,,,,,1,,1,,1
Pork,,Double-Sauteed Pork,,10.25,,,,,,1,,1,,1
Pork,,Hunan Pork,,10.25,,,,,,1,,1,,1
Pork,,Pork with Imperial Sauce,,10.25,,,,,,1,,,,1
Pork,,Pork with Black Bean,,10.25,,,,,,1,,,,1
Pork,,Imperial Spare Ribs,,10.25,,,,,,1,,,,1
Egg Foo Yang,,Vegetable Egg Foo Yang,,9.95,,,,,,1,,,,1
Egg Foo Yang,,Chicken Egg Foo Yang,,9.95,,,,,,1,,,,1
Egg Foo Yang,,BBQ Pork Egg Foo Yang,,9.95,,,,,,1,,,,1
